AssetId,Type,Lat,Lng
138468,E,-37.68814591,176.2377676
138470,E,-37.72346249,176.1769383
138473,E,-37.67000325,176.2129795
138474,E,-37.66884512,176.2143158
138476,E,-37.66977476,176.2132424
138477,E,-37.66974658,176.2132335
138478,E,-37.66975173,176.213207
138479,E,-37.67108515,176.2115164
138481,E,-37.672076,176.2167113
138482,E,-37.67211397,176.2167569
138483,E,-37.66521511,176.2137762
138484,E,-37.695516,176.2528546
138485,E,-37.69209028,176.2545121
138489,E,-37.68912539,176.2308333
138490,E,-37.68914861,176.230887
138491,E,-37.68913548,176.2308945
138492,E,-37.69076426,176.233568
138493,E,-37.69110726,176.2346415
138494,E,-37.69111538,176.2346576
138495,E,-37.69100992,176.2347193
138496,E,-37.69071077,176.2341085
138497,E,-37.69070942,176.2341129
138498,E,-37.68668641,176.2578822
138499,E,-37.68667095,176.2578211
138500,E,-37.72378598,176.3518329
138501,E,-37.70915929,176.313717
138502,E,-37.7091601,176.3137253
138503,E,-37.70917069,176.313726
138505,E,-37.71138399,176.3127249
138506,E,-37.71068477,176.3138102
138507,E,-37.71148094,176.3129198
138509,E,-37.70652105,176.2994747
138511,E,-37.70496828,176.2914854
138512,E,-37.70864963,176.3057536
138514,E,-37.68907543,176.1604227
138516,E,-37.69068679,176.158825
138518,E,-37.69476797,176.1560514
138520,E,-37.69576848,176.1544818
138523,E,-37.69228038,176.2645349
138524,E,-37.69184821,176.2645305
138527,E,-37.70107515,176.2847467
138532,E,-37.69530937,176.1261848
138533,E,-37.69558981,176.1266812
138534,E,-37.69548717,176.1265961
138535,E,-37.69910454,176.1420185
138536,E,-37.69832934,176.1404716
138537,E,-37.6983322,176.1404791
138538,E,-37.69711379,176.1395121
138539,E,-37.69749361,176.151471
138540,E,-37.6974873,176.1514741
138541,E,-37.69747999,176.1519496
138542,E,-37.69748261,176.1519561
138543,E,-37.69749286,176.1519663
138544,E,-37.69963913,176.1470308
138545,E,-37.69618142,176.1355897
138546,E,-37.6966855,176.1360513
138547,E,-37.6971203,176.1395076
138548,E,-37.69919096,176.1488398
138549,E,-37.69709649,176.1395193
138550,E,-37.67624711,176.2393218
138551,E,-37.67624339,176.239329
138552,E,-37.71622255,176.3396211
138553,E,-37.71622502,176.3396234
138556,E,-37.67049491,176.1667262
138560,E,-37.71189631,176.3224234
138564,E,-37.71613847,176.3295379
138566,E,-37.7179096,176.334411
138569,E,-37.71954891,176.3414956
138570,E,-37.71147764,176.3129536
138572,E,-37.70070027,176.2624421
