AssetId,AssetStatus,AssetName,Type,FromId,ToId,Diameter
1001,In Service,,Gravity,81925,73240,150
1002,In Service,,Gravity,80660,73242,150
1003,In Service,,Gravity,73244,86007,150
1004,In Service,,Gravity,73242,82570,150
1005,In Service,,Gravity,78636,86008,150
1006,In Service,,Gravity,83777,73245,150
1007,In Service,,Gravity,80661,86533,150
1008,In Service,,Gravity,84717,73248,150
1009,In Service,,Gravity,87033,73248,150
1010,In Service,,Gravity,86009,78000,150
1011,In Service,,Gravity,73252,83778,150
1012,In Service,,Gravity,79582,81928,150
1013,In Service,,Gravity,73257,73256,300
1014,In Service,,Gravity,79583,81929,300
1015,In Service,,Gravity,80666,PS121,150
1016,In Service,,Gravity,78639,82577,150
1017,In Service,,Gravity,83783,81110,150
1018,In Service,,Gravity,86838,79640,150
1019,In Service,,Gravity,82978,89633,150
1020,In Service,,Gravity,82579,PS110,50
1021,In Service,,Gravity,87751,77843,150
1022,In Service,,Gravity,80668,78641,150
1023,In Service,,Gravity,73275,82580,150
1024,Out of Service,,Reclaimed,89635,89634,100
1025,In Service,,Gravity,84725,78642,300
1026,In Service,,Gravity,80771,82581,300
1028,In Service,,Gravity,85297,86449,150
1029,In Service,,Gravity,77476,81007,150
1030,In Service,,Gravity,78643,80669,150
1031,In Service,,Gravity,83786,85297,150
1032,In Service,,Gravity,82582,80670,150
1033,In Service,,Gravity,79586,73279,150
1034,In Service,,Gravity,87753,73284,150
1035,In Service,,Gravity,81933,83788,150
1036,In Service,,Gravity,73286,78215,150
1037,In Service,,Gravity,73290,73291,150
1038,In Service,,Gravity,87755,82583,150
1039,In Service,,Rising,148909,138560,450
1040,In Service,,Rising,138569,159520,300
1041,In Service,,Gravity,79589,86017,150
1042,In Service,,Gravity,87756,88849,150
1043,In Service,,Gravity,84728,87756,150
1044,In Service,,Gravity,78645,86017,150
1045,In Service,,Gravity,86019,83940,150
1047,In Service,,Gravity,81939,79592,150
1048,In Service,,Gravity,88850,73298,150
1049,In Service,,Gravity,84730,83791,150
1050,In Service,,Gravity,73297,86538,150
1051,In Service,,Gravity,82585,81938,150
1052,In Service,,Gravity,84729,73294,150
1053,In Service,,Gravity,77532,81939,150
1054,In Service,,Gravity,73303,87759,150
1055,In Service,,Gravity,73302,84731,150
1056,In Service,,Gravity,86539,86021,150
1057,In Service,,Gravity,81941,79594,150
1058,In Service,,Gravity,79594,73306,150
1059,In Service,,Gravity,86540,86022,150
1060,In Service,,Gravity,88869,73392,150
1061,In Service,,Gravity,78649,83126,150
1062,In Service,,Gravity,79595,86023,150
1063,In Service,,Gravity,73310,81942,150
1064,In Service,,Gravity,84734,73312,150
1065,In Service,,Gravity,80675,78648,150
1066,In Service,,Gravity,84733,82588,150
1067,In Service,,Gravity,86541,81942,150
1068,In Service,,Gravity,81009,82622,150
1069,In Service,,Gravity,82622,84773,150
1070,In Service,,Gravity,84774,73473,150
1071,In Service,,Gravity,73472,79626,150
