OBJECTID,AssetID,AssetStatus,AssetName,Owner,InstallDate,Type,Lng,Lat
20,PS003,In Service,CARYSFORT ST,TCC,1/02/1979,Rising Main,176.2262728,-37.67210611
31,PS008,In Service,DOMAIN RD,TCC,1/03/1991,Rising Main,176.2845997,-37.69795575
27,PS014,In Service,TE MAUNGA OUTFALL,TCC,1/08/1976,Rising Main,176.2334183,-37.69441705
21,PS016,In Service,SEASPRAY DRV,TCC,1/07/1974,Rising Main,176.234188,-37.67576076
22,PS017,In Service,MARANUI ST,TCC,1/10/1983,Rising Main,176.2393783,-37.6762641
7,PS018,In Service,MARU ST,TCC,1/06/1979,Rising Main,176.197334,-37.66254127
6,PS021,In Service,NEWTON ST,TCC,1/03/1979,Rising Main,176.202224,-37.65945474
8,PS022,In Service,VALLEY RD,TCC,1/03/1979,Rising Main,176.2060795,-37.65610099
3,PS023,In Service,LEE ST,TCC,1/01/1985,Rising Main,176.1995153,-37.64911106
2,PS024,In Service,GROVE AVE,TCC,1/01/1985,Rising Main,176.1901041,-37.64092993
17,PS030,In Service,LINKS AVE,TCC,1/07/1974,Rising Main,176.2144625,-37.6687682
11,PS031,In Service,SURF RD,TCC,1/09/1983,Rising Main,176.2155115,-37.65918575
19,PS033,In Service,BERESCOURT PL,TCC,1/02/1979,Rising Main,176.2239513,-37.66794735
5,PS034,In Service,YORK AVE,TCC,1/05/1983,Rising Main,176.1928069,-37.65615
24,PS035,In Service,INVERELL PL,TCC,1/03/1979,Rising Main,176.2288681,-37.68124007
10,PS036,In Service,RANCH RD,TCC,1/10/1984,Rising Main,176.2079782,-37.65906678
12,PS038,In Service,BAY ST,TCC,1/05/1984,Rising Main,176.1202501,-37.67250254
23,PS039,In Service,JONATHON ST,TCC,1/01/1982,Rising Main,176.1319417,-37.69337259
13,PS041,In Service,SYLVANIA DRV,TCC,1/10/2006,Rising Main,176.1291643,-37.66925904
1,PS054,In Service,THE MALL,TCC,12/07/1976,Rising Main,176.1796142,-37.6367207
29,PS059,In Service,GRAVATT RD,TCC,1/11/1987,Rising Main,176.2652777,-37.69700544
26,PS071,In Service,SANDHURST DRV,TCC,1/09/1996,Rising Main,176.2482995,-37.68379394
28,PS077,In Service,CATALINA KEY,TCC,1/10/1995,Rising Main,176.2714821,-37.6946029
4,PS080,In Service,TAURANGA MARINA,TCC,1/08/1992,Rising Main,176.1682924,-37.66171503
16,PS083,In Service,JEAN BATTEN DRV,TCC,1/05/1988,Rising Main,176.1972747,-37.6663374
15,PS084,In Service,TOTARA ST SOUTH,TCC,1/05/1988,Rising Main,176.1870286,-37.66840704
18,PS085,In Service,MATAPIHI RD,TCC,1/09/1989,Rising Main,176.2125671,-37.67733493
25,PS086,In Service,FAHEY AVE,TCC,1/04/1996,Rising Main,176.2343441,-37.67919172
30,PS090,In Service,PALM BEACH BLVD,TCC,1/06/1998,Rising Main,176.2712706,-37.69876935
9,PS102,In Service,61A OCEANBEACH RD (MINI),TCC,1/12/1984,Rising Main,176.213312,-37.65733449
119,PS113,In Service,CARMICHAEL RD,TCC,1/06/2002,Rising Main,176.1193417,-37.6876743
199,PS002,In Service,Harris St,TCC,15/03/2018,Rising Main,176.2214308,-37.67383884
200,PS013,In Service,MACDONALD ST,TCC,1/06/1973,Rising Main,176.2128918,-37.669835
201,PS019,In Service,TAWA ST,TCC,1/07/1982,Rising Main,176.1878212,-37.64531398
198,PS092,In Service,AVIATION AVE,TCC,1/05/1997,Rising Main,176.2071948,-37.66918301
